;No.;Time;Source;Destination;Protocol;Length;Info
0;1;0.0;10.0.2.8;10.0.2.15;TCP;74;54104  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3206621607 TSecr=0 WS=128
1;2;0.0007651639999999999;10.0.2.15;10.0.2.8;TCP;74;80  >  54104 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=189039 TSecr=3206621607 WS=64
2;3;0.0007992660000000001;10.0.2.8;10.0.2.15;TCP;66;54104  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3206621608 TSecr=189039
3;4;0.0009758680000000001;10.0.2.8;10.0.2.15;HTTP;722;POST /mutillidae/index.php?page=login.php HTTP/1.1  (application/x-www-form-urlencoded)
4;5;0.002242374;10.0.2.15;10.0.2.8;TCP;66;80  >  54104 [ACK] Seq=1 Ack=657 Win=7104 Len=0 TSval=189039 TSecr=3206621608
5;6;0.08648996800000001;10.0.2.15;10.0.2.8;TCP;2962;80  >  54104 [ACK] Seq=1 Ack=657 Win=7104 Len=2896 TSval=189060 TSecr=3206621608 [TCP segment of a reassembled PDU]
6;7;0.08650850199999999;10.0.2.8;10.0.2.15;TCP;66;54104  >  80 [ACK] Seq=657 Ack=2897 Win=63488 Len=0 TSval=3206621694 TSecr=189060
7;8;0.087332101;10.0.2.15;10.0.2.8;TCP;1514;80  >  54104 [ACK] Seq=2897 Ack=657 Win=7104 Len=1448 TSval=189061 TSecr=3206621608 [TCP segment of a reassembled PDU]
8;9;0.08733217;10.0.2.15;10.0.2.8;TCP;1514;80  >  54104 [ACK] Seq=4345 Ack=657 Win=7104 Len=1448 TSval=189061 TSecr=3206621694 [TCP segment of a reassembled PDU]
9;10;0.087352402;10.0.2.8;10.0.2.15;TCP;66;54104  >  80 [ACK] Seq=657 Ack=4345 Win=64128 Len=0 TSval=3206621695 TSecr=189061
10;11;0.087403639;10.0.2.8;10.0.2.15;TCP;66;54104  >  80 [ACK] Seq=657 Ack=5793 Win=63488 Len=0 TSval=3206621695 TSecr=189061
11;12;0.08763400699999999;10.0.2.15;10.0.2.8;TCP;2962;80  >  54104 [ACK] Seq=5793 Ack=657 Win=7104 Len=2896 TSval=189061 TSecr=3206621694 [TCP segment of a reassembled PDU]
12;13;0.087634074;10.0.2.15;10.0.2.8;HTTP;736;HTTP/1.1 200 OK  (text/html)
13;14;0.087643949;10.0.2.8;10.0.2.15;TCP;66;54104  >  80 [ACK] Seq=657 Ack=8689 Win=63488 Len=0 TSval=3206621695 TSecr=189061
14;15;0.087663965;10.0.2.8;10.0.2.15;TCP;66;54104  >  80 [ACK] Seq=657 Ack=9359 Win=62848 Len=0 TSval=3206621695 TSecr=189061
15;16;0.087955895;10.0.2.15;10.0.2.8;TCP;66;80  >  54104 [FIN, ACK] Seq=9359 Ack=657 Win=7104 Len=0 TSval=189061 TSecr=3206621695
16;17;0.123105566;10.0.2.8;10.0.2.15;TCP;66;54104  >  80 [FIN, ACK] Seq=657 Ack=9360 Win=64128 Len=0 TSval=3206621730 TSecr=189061
17;18;0.124513125;10.0.2.15;10.0.2.8;TCP;66;80  >  54104 [ACK] Seq=9360 Ack=658 Win=7104 Len=0 TSval=189070 TSecr=3206621730
18;19;32.912659557;10.0.2.8;10.0.2.15;TCP;74;54110  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3206654520 TSecr=0 WS=128
19;20;32.913028871;10.0.2.15;10.0.2.8;TCP;74;80  >  54110 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=197263 TSecr=3206654520 WS=64
20;21;32.913050318;10.0.2.8;10.0.2.15;TCP;66;54110  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3206654520 TSecr=197263
21;22;32.91511581;10.0.2.8;10.0.2.15;HTTP;601;GET /mutillidae/index.php?page=user-info.php HTTP/1.1 
22;23;32.917315828;10.0.2.15;10.0.2.8;TCP;66;80  >  54110 [ACK] Seq=1 Ack=536 Win=6912 Len=0 TSval=197264 TSecr=3206654522
23;24;33.015616456;10.0.2.15;10.0.2.8;TCP;1514;80  >  54110 [ACK] Seq=1 Ack=536 Win=6912 Len=1448 TSval=197288 TSecr=3206654522 [TCP segment of a reassembled PDU]
24;25;33.015633859;10.0.2.8;10.0.2.15;TCP;66;54110  >  80 [ACK] Seq=536 Ack=1449 Win=64128 Len=0 TSval=3206654623 TSecr=197288
25;26;33.016136607;10.0.2.15;10.0.2.8;TCP;2962;80  >  54110 [ACK] Seq=1449 Ack=536 Win=6912 Len=2896 TSval=197289 TSecr=3206654522 [TCP segment of a reassembled PDU]
26;27;33.016136669;10.0.2.15;10.0.2.8;TCP;2962;80  >  54110 [ACK] Seq=4345 Ack=536 Win=6912 Len=2896 TSval=197289 TSecr=3206654623 [TCP segment of a reassembled PDU]
27;28;33.016145972;10.0.2.8;10.0.2.15;TCP;66;54110  >  80 [ACK] Seq=536 Ack=4345 Win=63488 Len=0 TSval=3206654623 TSecr=197289
28;29;33.016161749;10.0.2.8;10.0.2.15;TCP;66;54110  >  80 [ACK] Seq=536 Ack=7241 Win=61568 Len=0 TSval=3206654623 TSecr=197289
29;30;33.01637766;10.0.2.15;10.0.2.8;HTTP;1821;HTTP/1.1 200 OK  (text/html)
30;31;33.016389859;10.0.2.8;10.0.2.15;TCP;66;54110  >  80 [ACK] Seq=536 Ack=8997 Win=63488 Len=0 TSval=3206654624 TSecr=197289
31;32;33.037352739;10.0.2.8;10.0.2.15;TCP;66;54110  >  80 [FIN, ACK] Seq=536 Ack=8997 Win=64128 Len=0 TSval=3206654645 TSecr=197289
32;33;33.038801196;10.0.2.15;10.0.2.8;TCP;66;80  >  54110 [ACK] Seq=8997 Ack=537 Win=6912 Len=0 TSval=197294 TSecr=3206654645
33;34;33.322785874000004;10.0.2.8;10.0.2.15;TCP;74;54124  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3206654930 TSecr=0 WS=128
34;35;33.323832046999996;10.0.2.15;10.0.2.8;TCP;74;80  >  54124 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=197366 TSecr=3206654930 WS=64
35;36;33.323881683;10.0.2.8;10.0.2.15;TCP;66;54124  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3206654931 TSecr=197366
36;37;33.339378309000004;10.0.2.8;10.0.2.15;HTTP;524;GET /mutillidae/images/ajax_logo-75-79.jpg HTTP/1.1 
37;38;33.34174111;10.0.2.15;10.0.2.8;TCP;66;80  >  54124 [ACK] Seq=1 Ack=459 Win=6912 Len=0 TSval=197370 TSecr=3206654947
38;39;33.36335487;10.0.2.8;10.0.2.15;TCP;74;54126  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3206654971 TSecr=0 WS=128
39;40;33.364348795;10.0.2.15;10.0.2.8;TCP;74;80  >  54126 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=197376 TSecr=3206654971 WS=64
40;41;33.364405494;10.0.2.8;10.0.2.15;TCP;66;54126  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3206654972 TSecr=197376
41;42;33.364527646999996;10.0.2.8;10.0.2.15;HTTP;523;GET /mutillidae/images/xml-logo-64-64.png HTTP/1.1 
42;43;33.365974164;10.0.2.15;10.0.2.8;TCP;66;80  >  54126 [ACK] Seq=1 Ack=458 Win=6912 Len=0 TSval=197376 TSecr=3206654972
43;44;33.388002084;10.0.2.15;10.0.2.8;TCP;2962;80  >  54124 [ACK] Seq=1 Ack=459 Win=6912 Len=2896 TSval=197382 TSecr=3206654947 [TCP segment of a reassembled PDU]
44;45;33.38802059;10.0.2.8;10.0.2.15;TCP;66;54124  >  80 [ACK] Seq=459 Ack=2897 Win=63488 Len=0 TSval=3206654995 TSecr=197382
45;46;33.388614980999996;10.0.2.15;10.0.2.8;TCP;1514;80  >  54124 [ACK] Seq=2897 Ack=459 Win=6912 Len=1448 TSval=197382 TSecr=3206654947 [TCP segment of a reassembled PDU]
46;47;33.388615054;10.0.2.15;10.0.2.8;HTTP;4239;HTTP/1.1 200 OK  (JPEG JFIF image)
47;48;33.388633479;10.0.2.8;10.0.2.15;TCP;66;54124  >  80 [ACK] Seq=459 Ack=4345 Win=64128 Len=0 TSval=3206654996 TSecr=197382
