Plugin ID;CVE;CVSS;Risk;Host;Protocol;Port;Name;Synopsis;Description;Solution;See Also;Plugin Output;STIG Severity;CVSS v3.0 Base Score;CVSS Temporal Score;CVSS v3.0 Temporal Score;Risk Factor;BID;XREF;MSKB;Plugin Publication Date;Plugin Modification Date;Metasploit;Core Impact;CANVAS
10028;;;None;10.0.2.6;udp;53;DNS Server BIND version Directive Remote Version Detection;It is possible to obtain the version number of the remote DNS server.;The remote host is running BIND or another DNS server that reports its;;;;;;;;;;;;;;;;
version number when it receives a special request for the text;;;;;;;;;;;;;;;;;;;;;;;;;
'version.bind' in the domain 'chaos'. ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
This version is not necessarily accurate and could even be forged; as;;;;;;;;;;;;;;;;;;;;;;;;
"some DNS servers send the information based on a configuration file.""";It is possible to hide the version number of BIND by using the;;;;;;;;;;;;;;;;;;;;;;;;
"'version' directive in the 'options' section in named.conf.""";;;;;;;;;;;;;;;;;;;;;;;;;
  Version : 9.4.2;;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"None""";;;;12/10/1999;22/11/2019;;;;;;;;;;;;;;;;;
10092;;;None;10.0.2.6;tcp;21;FTP Server Detection;An FTP server is listening on a remote port.;It is possible to obtain the banner of the remote FTP server by;;;;;;;;;;;;;;;;
"connecting to a remote port.""";n/a;;;;;;;;;;;;;;;;;;;;;;;;
The remote FTP banner is :;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
220 (vsFTPd 2.3.4);;;;;;;;;;;;;;;;;;;;;;;;;
;,;,;"None""";;;;12/10/1999;22/11/2019;;;;;;;;;;;;;;;;;
10092;;;None;10.0.2.6;tcp;2121;FTP Server Detection;An FTP server is listening on a remote port.;It is possible to obtain the banner of the remote FTP server by;;;;;;;;;;;;;;;;
"connecting to a remote port.""";n/a;;;;;;;;;;;;;;;;;;;;;;;;
