;Plugin ID;CVE;CVSS;Risk;Host;Protocol;Port;Name;Synopsis;Description;Solution;See Also;Plugin Output;STIG Severity;CVSS v3.0 Base Score;CVSS Temporal Score;CVSS v3.0 Temporal Score;Risk Factor;BID;XREF;MSKB;Plugin Publication Date;Plugin Modification Date;Metasploit;Core Impact;CANVAS
0;10114;CVE-1999-0524;0.0;None;10.0.2.5;icmp;0;ICMP Timestamp Request Remote Date Disclosure;It is possible to determine the exact time set on the remote host.;The remote host answers to an ICMP timestamp request.  This allows an;;;;;;;;;;;;;;;;
1;attacker to know the date that is set on the targeted machine; which;;;;;;;;;;;;;;;;;;;;;;;;
2;may assist an unauthenticated; remote attacker in defeating time-based;;;;;;;;;;;;;;;;;;;;;;;;
3;authentication protocols.;;;;;;;;;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Timestamps returned from machines running Windows Vista / 7 / 2008 /;;;;;;;;;;;;;;;;;;;;;;;;;
6;2008 R2 are deliberately incorrect; but usually within 1000 seconds of;;;;;;;;;;;;;;;;;;;;;;;;
7;"the actual system time.""";Filter out the ICMP timestamp requests (13), and the outgoing ICMP;;;;;;;;;;;;;;;;;;;;;;;;
8;"timestamp replies (14).""";;The ICMP timestamps seem to be in little endian format (not in network format);;;;;;;;;;;;;;;;;;;;;;;
9;The difference between the local and remote clocks is -948 seconds.;;;;;;;;;;;;;;;;;;;;;;;;;
10;;,0.0;;;None;;CWE:200;;01/08/1999;04/10/2019;;;;;;;;;;;;;;;;
11;10150;;;None;10.0.2.5;udp;137;Windows NetBIOS / SMB Remote Host Information Disclosure;It was possible to obtain the network name of the remote host.;The remote host is listening on UDP port 137 or TCP port 445, and;;;;;;;;;;;;;;;;
12;replies to NetBIOS nbtscan or SMB requests.;;;;;;;;;;;;;;;;;;;;;;;;;
13;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Note that this plugin gathers information to be used in other plugins;;;;;;;;;;;;;;;;;;;;;;;;;
15;"but does not itself generate a report.""";;;The following 6 NetBIOS names have been gathered :;;;;;;;;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;;;;;;;;;;;;
17; HETEAM           = File Server Service;;;;;;;;;;;;;;;;;;;;;;;;;
18; HETEAM           = Computer name;;;;;;;;;;;;;;;;;;;;;;;;;
19; EMPRESA          = Workgroup / Domain name;;;;;;;;;;;;;;;;;;;;;;;;;
20; EMPRESA          = Browser Service Elections;;;;;;;;;;;;;;;;;;;;;;;;;
21; EMPRESA          = Master Browser;;;;;;;;;;;;;;;;;;;;;;;;;
22; __MSBROWSE__     = Master Browser;;;;;;;;;;;;;;;;;;;;;;;;;
23;;;;;;;;;;;;;;;;;;;;;;;;;;
24;The remote host has the following MAC address on its adapter :;;;;;;;;;;;;;;;;;;;;;;;;;
25;;;;;;;;;;;;;;;;;;;;;;;;;;
26;"   08:00:27:4e:fd:78""";;;;;None;;;;12/10/1999;14/05/2020;;;;;;;;;;;;;;;
27;10287;;;None;10.0.2.5;udp;0;Traceroute Information;It was possible to obtain traceroute information.;Makes a traceroute to the remote host.;;;For your information, here is the traceroute from 10.0.2.4 to 10.0.2.5 : ;;;;;;;;;;;;;
28;10.0.2.4;;;;;;;;;;;;;;;;;;;;;;;;;
29;10.0.2.5;;;;;;;;;;;;;;;;;;;;;;;;;
30;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Hop Count: 1;;;;;;;;;;;;;;;;;;;;;;;;;
32;;,;,;"None""";;;;27/11/1999;06/03/2019;;;;;;;;;;;;;;;;;
33;10394;;;None;10.0.2.5;tcp;445;Microsoft Windows SMB Log In Possible;It was possible to log into the remote host.;The remote host is running a Microsoft Windows operating system or;;;;;;;;;;;;;;;;
34;Samba; a CIFS/SMB server for Unix. It was possible to log into it;;;;;;;;;;;;;;;;;;;;;;;;
35;using one of the following accounts :;;;;;;;;;;;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;;;;;;;;;;;;;
37;#¿NOMBRE?;;;;;;;;;;;;;;;;;;;;;;;;;
38;#¿NOMBRE?;;;;;;;;;;;;;;;;;;;;;;;;;
39;"- Supplied credentials""";;http://www.nessus.org/u?5c2589f6;;;;;;;;;;;;;;;;;;;;;;;
40;"https://support.microsoft.com/en-us/help/246261""";#¿NOMBRE?;;;;;;;;;;;;;;;;;;;;;;;;
41;;,;,;"None""";;;;09/05/2000;09/03/2020;;;;;;;;;;;;;;;;;
42;10736;;;None;10.0.2.5;tcp;135;DCE Services Enumeration;A DCE/RPC service is running on the remote host.;By sending a Lookup request to the portmapper (TCP 135 or epmapper;;;;;;;;;;;;;;;;
43;PIPE) it was possible to enumerate the Distributed Computing;;;;;;;;;;;;;;;;;;;;;;;;;
44;Environment (DCE) services running on the remote port. Using this;;;;;;;;;;;;;;;;;;;;;;;;;
45;information it is possible to connect and bind to each service by;;;;;;;;;;;;;;;;;;;;;;;;;
46;"sending an RPC request to the remote port/pipe.""";;;;;;;;;;;;;;;;;;;;;;;;;
47;The following DCERPC services are available locally :;;;;;;;;;;;;;;;;;;;;;;;;;
48;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Object UUID : 765294ba-60bc-48b8-92e9-89fd77769d91;;;;;;;;;;;;;;;;;;;;;;;;;
50;UUID : d95afe70-a6d5-4259-822e-2c84da1ddb0d; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
51;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
52;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
53;Named pipe : WindowsShutdown;;;;;;;;;;;;;;;;;;;;;;;;;
54;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Object UUID : 765294ba-60bc-48b8-92e9-89fd77769d91;;;;;;;;;;;;;;;;;;;;;;;;;
56;UUID : d95afe70-a6d5-4259-822e-2c84da1ddb0d; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
57;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
58;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
59;Named pipe : WMsgKRpc054600;;;;;;;;;;;;;;;;;;;;;;;;;
60;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Object UUID : b08669ee-8cb5-43a5-a017-84fe00000000;;;;;;;;;;;;;;;;;;;;;;;;;
62;UUID : 76f226c3-ec14-4325-8a99-6a46348418af; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
63;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
64;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
65;Named pipe : WindowsShutdown;;;;;;;;;;;;;;;;;;;;;;;;;
66;;;;;;;;;;;;;;;;;;;;;;;;;;
67;Object UUID : b08669ee-8cb5-43a5-a017-84fe00000000;;;;;;;;;;;;;;;;;;;;;;;;;
68;UUID : 76f226c3-ec14-4325-8a99-6a46348418af; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
69;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
70;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
71;Named pipe : WMsgKRpc054600;;;;;;;;;;;;;;;;;;;;;;;;;
72;;;;;;;;;;;;;;;;;;;;;;;;;;
73;Object UUID : 6d726574-7273-0076-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
74;UUID : c9ac6db5-82b7-4e55-ae8a-e464ed7b4277; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
75;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
76;Annotation : Impl friendly name;;;;;;;;;;;;;;;;;;;;;;;;;
77;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
78;Named pipe : LRPC-07d7c7028914877a36;;;;;;;;;;;;;;;;;;;;;;;;;
79;;;;;;;;;;;;;;;;;;;;;;;;;;
80;Object UUID : 52ef130c-08fd-4388-86b3-6edf00000001;;;;;;;;;;;;;;;;;;;;;;;;;
81;UUID : 12e65dd8-887f-41ef-91bf-8d816c42c2e7; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
82;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
83;Annotation : Secure Desktop LRPC interface;;;;;;;;;;;;;;;;;;;;;;;;;
84;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
85;Named pipe : WMsgKRpc054931;;;;;;;;;;;;;;;;;;;;;;;;;
86;;;;;;;;;;;;;;;;;;;;;;;;;;
87;Object UUID : b08669ee-8cb5-43a5-a017-84fe00000001;;;;;;;;;;;;;;;;;;;;;;;;;
88;UUID : 76f226c3-ec14-4325-8a99-6a46348418af; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
89;Description : Unknown RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
90;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
91;Named pipe : WMsgKRpc054931;;;;;;;;;;;;;;;;;;;;;;;;;
92;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
94;UUID : 4b112204-0e19-11d3-b42b-0000f81feb9f; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
95;Description : SSDP service;;;;;;;;;;;;;;;;;;;;;;;;;
96;Windows process : unknow;;;;;;;;;;;;;;;;;;;;;;;;;
97;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
98;Named pipe : LRPC-9d5e87433c1a8ccfae;;;;;;;;;;;;;;;;;;;;;;;;;
99;;;;;;;;;;;;;;;;;;;;;;;;;;
100;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
101;UUID : 12345778-1234-abcd-ef00-0123456789ac; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
102;Description : Security Account Manager;;;;;;;;;;;;;;;;;;;;;;;;;
103;Windows process : lsass.exe;;;;;;;;;;;;;;;;;;;;;;;;;
104;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
105;Named pipe : LRPC-5015f239b442d6b02e;;;;;;;;;;;;;;;;;;;;;;;;;
106;;;;;;;;;;;;;;;;;;;;;;;;;;
107;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
108;UUID : 12345778-1234-abcd-ef00-0123456789ac; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
109;Description : Security Account Manager;;;;;;;;;;;;;;;;;;;;;;;;;
110;Windows process : lsass.exe;;;;;;;;;;;;;;;;;;;;;;;;;
111;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
112;Named pipe : audit;;;;;;;;;;;;;;;;;;;;;;;;;
113;;;;;;;;;;;;;;;;;;;;;;;;;;
114;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
115;UUID : 12345778-1234-abcd-ef00-0123456789ac; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
116;Description : Security Account Manager;;;;;;;;;;;;;;;;;;;;;;;;;
117;Windows process : lsass.exe;;;;;;;;;;;;;;;;;;;;;;;;;
118;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
119;Named pipe : securityevent;;;;;;;;;;;;;;;;;;;;;;;;;
120;;;;;;;;;;;;;;;;;;;;;;;;;;
121;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
122;UUID : 12345778-1234-abcd-ef00-0123456789ac; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
123;Description : Security Account Manager;;;;;;;;;;;;;;;;;;;;;;;;;
124;Windows process : lsass.exe;;;;;;;;;;;;;;;;;;;;;;;;;
125;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
126;Named pipe : LSARPC_ENDPOINT;;;;;;;;;;;;;;;;;;;;;;;;;
127;;;;;;;;;;;;;;;;;;;;;;;;;;
128;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
129;UUID : 12345778-1234-abcd-ef00-0123456789ac; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
130;Description : Security Account Manager;;;;;;;;;;;;;;;;;;;;;;;;;
131;Windows process : lsass.exe;;;;;;;;;;;;;;;;;;;;;;;;;
132;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
133;Named pipe : lsapolicylookup;;;;;;;;;;;;;;;;;;;;;;;;;
134;;;;;;;;;;;;;;;;;;;;;;;;;;
135;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
136;UUID : 12345778-1234-abcd-ef00-0123456789ac; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
137;Description : Security Account Manager;;;;;;;;;;;;;;;;;;;;;;;;;
138;Windows process : lsass.exe;;;;;;;;;;;;;;;;;;;;;;;;;
139;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
140;Named pipe : lsasspirpc;;;;;;;;;;;;;;;;;;;;;;;;;
141;;;;;;;;;;;;;;;;;;;;;;;;;;
142;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
143;UUID : 12345778-1234-abcd-ef00-0123456789ac; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
144;Description : Security Account Manager;;;;;;;;;;;;;;;;;;;;;;;;;
145;Windows process : lsass.exe;;;;;;;;;;;;;;;;;;;;;;;;;
146;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
147;Named pipe : protected_storage;;;;;;;;;;;;;;;;;;;;;;;;;
148;;;;;;;;;;;;;;;;;;;;;;;;;;
149;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
150;UUID : 12345778-1234-abcd-ef00-0123456789ac; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
151;Description : Security Account Manager;;;;;;;;;;;;;;;;;;;;;;;;;
152;Windows process : lsass.exe;;;;;;;;;;;;;;;;;;;;;;;;;
153;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
154;Named pipe : samss lpc;;;;;;;;;;;;;;;;;;;;;;;;;
155;;;;;;;;;;;;;;;;;;;;;;;;;;
156;Object UUID : 00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;;;;;;;;
157;UUID : 12345678-1234-abcd-ef00-0123456789ab; version 1.0;;;;;;;;;;;;;;;;;;;;;;;;
158;Description : IPsec Services (Windows XP & 2003);;;;;;;;;;;;;;;;;;;;;;;;;
159;Windows process : lsass.exe;;;;;;;;;;;;;;;;;;;;;;;;;
160;Annotation : IPSec Policy agent endpoint;;;;;;;;;;;;;;;;;;;;;;;;;
161;Type : Local RPC service;;;;;;;;;;;;;;;;;;;;;;;;;
162;Named pipe : LRPC-5d67f1c4e76b3a13d8;;;;;;;;;;;;;;;;;;;;;;;;;
163;;;;;;;;;;;;;;;;;;;;;;;;;;
