;No.;Time;Source;Destination;Protocol;Length;Info
0;1;0.000000000;fe80::a173:b4d1:adfc:2975;ff02::1:ff00:1;ICMPv6;86;Neighbor Solicitation for fe80::1 from 08:00:27:4e:fd:78
1;2;2.173.764.080;fe80::a173:b4d1:adfc:2975;ff02::1:ff00:1;ICMPv6;86;Neighbor Solicitation for fe80::1 from 08:00:27:4e:fd:78
2;3;3.000.480.503;fe80::a173:b4d1:adfc:2975;ff02::1:ff00:1;ICMPv6;86;Neighbor Solicitation for fe80::1 from 08:00:27:4e:fd:78
3;4;4.000.309.154;fe80::a173:b4d1:adfc:2975;ff02::1:ff00:1;ICMPv6;86;Neighbor Solicitation for fe80::1 from 08:00:27:4e:fd:78
4;5;8.137.583.050;10.0.2.4;66.102.1.189;TLSv1.2;90;Application Data
5;6;8.174.610.299;66.102.1.189;10.0.2.4;TCP;60;443  >  43408 [ACK] Seq=1 Ack=37 Win=32324 Len=0
6;7;9.677.366.938;10.0.2.4;212.166.210.80;DNS;75;Standard query 0x820b A play.google.com
7;8;9.689.506.990;212.166.210.80;10.0.2.4;DNS;91;Standard query response 0x820b A play.google.com A 216.58.201.174
8;9;9.689.953.742;10.0.2.4;216.58.201.174;TCP;74;53252  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4013298619 TSecr=0 WS=128
9;10;9.702.516.797;216.58.201.174;10.0.2.4;TCP;60;443  >  53252 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460
10;11;9.702.572.576;10.0.2.4;216.58.201.174;TCP;54;53252  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
11;12;9.706.292.482;10.0.2.4;216.58.201.174;TLSv1.3;571;Client Hello
12;13;9.739.132.538;216.58.201.174;10.0.2.4;TLSv1.3;1484;Server Hello, Change Cipher Spec
13;14;9.739.255.163;10.0.2.4;216.58.201.174;TCP;54;53252  >  443 [ACK] Seq=518 Ack=1431 Win=62920 Len=0
