;Plugin ID;CVE;CVSS;Risk;Host;Protocol;Port;Name;Synopsis;Description;Solution;See Also;Plugin Output;STIG Severity;CVSS v3.0 Base Score;CVSS Temporal Score;CVSS v3.0 Temporal Score;Risk Factor;BID;XREF;MSKB;Plugin Publication Date;Plugin Modification Date;Metasploit;Core Impact;CANVAS
0;10028;;;None;10.0.2.6;udp;53;DNS Server BIND version Directive Remote Version Detection;It is possible to obtain the version number of the remote DNS server.;The remote host is running BIND or another DNS server that reports its;;;;;;;;;;;;;;;;
1;version number when it receives a special request for the text;;;;;;;;;;;;;;;;;;;;;;;;;
2;'version.bind' in the domain 'chaos'. ;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;;;;;;;;;;
4;This version is not necessarily accurate and could even be forged; as;;;;;;;;;;;;;;;;;;;;;;;;
5;"some DNS servers send the information based on a configuration file.""";It is possible to hide the version number of BIND by using the;;;;;;;;;;;;;;;;;;;;;;;;
6;"'version' directive in the 'options' section in named.conf.""";;;;;;;;;;;;;;;;;;;;;;;;;
7;  Version : 9.4.2;;;;;;;;;;;;;;;;;;;;;;;;;
8;;,;,;"None""";;;;12/10/1999;22/11/2019;;;;;;;;;;;;;;;;;
9;10092;;;None;10.0.2.6;tcp;21;FTP Server Detection;An FTP server is listening on a remote port.;It is possible to obtain the banner of the remote FTP server by;;;;;;;;;;;;;;;;
10;"connecting to a remote port.""";;;;;;;;;;;;;;;;;;;;;;;;;
11;The remote FTP banner is :;;;;;;;;;;;;;;;;;;;;;;;;;
12;;;;;;;;;;;;;;;;;;;;;;;;;;
13;220 (vsFTPd 2.3.4);;;;;;;;;;;;;;;;;;;;;;;;;
14;;,;,;"None""";;;;12/10/1999;22/11/2019;;;;;;;;;;;;;;;;;
15;10092;;;None;10.0.2.6;tcp;2121;FTP Server Detection;An FTP server is listening on a remote port.;It is possible to obtain the banner of the remote FTP server by;;;;;;;;;;;;;;;;
16;"connecting to a remote port.""";;;;;;;;;;;;;;;;;;;;;;;;;
17;The remote FTP banner is :;;;;;;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;;;;;;;;;
19;220 ProFTPD 1.3.1 Server (Debian) [::ffff:10.0.2.6];;;;;;;;;;;;;;;;;;;;;;;;;
20;;,;,;"None""";;;;12/10/1999;22/11/2019;;;;;;;;;;;;;;;;;
21;10107;;;None;10.0.2.6;tcp;80;HTTP Server Type and Version;A web server is running on the remote host.;This plugin attempts to determine the type and the version of the;;;;;;;;;;;;;;;;
22;"  remote web server.""";;;The remote web server type is :;;;;;;;;;;;;;;;;;;;;;;
23;;;;;;;;;;;;;;;;;;;;;;;;;;
