No.;Time;Source;Destination;Protocol;Length;Info
1;0.000000000;10.0.2.4;10.0.2.6;TCP;66;59784  >  80 [ACK] Seq=1 Ack=1 Win=2430 Len=0 TSval=3246957471 TSecr=4294953455
2;0.000047903;10.0.2.4;10.0.2.6;TCP;66;59788  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3246957471 TSecr=4294953455
3;0.000593552;10.0.2.6;10.0.2.4;TCP;66;[TCP ACKed unseen segment] 80  >  59784 [ACK] Seq=1 Ack=2 Win=146 Len=0 TSval=4294954459 TSecr=3246947434
4;0.000593825;10.0.2.6;10.0.2.4;TCP;66;[TCP ACKed unseen segment] 80  >  59788 [ACK] Seq=1 Ack=2 Win=54 Len=0 TSval=4294954459 TSecr=3246947429
5;0.228064516;10.0.2.4;10.0.2.6;TCP;66;59786  >  80 [ACK] Seq=1 Ack=1 Win=2958 Len=0 TSval=3246957699 TSecr=4294953482
6;0.230485975;10.0.2.6;10.0.2.4;TCP;66;[TCP ACKed unseen segment] 80  >  59786 [ACK] Seq=1 Ack=2 Win=113 Len=0 TSval=4294954482 TSecr=3246947739
7;4.954.649.096;10.0.2.6;10.0.2.4;TCP;66;[TCP ACKed unseen segment] 80  >  59788 [FIN, ACK] Seq=1 Ack=2 Win=54 Len=0 TSval=4294954955 TSecr=3246947429
8;4.954.649.743;10.0.2.6;10.0.2.4;TCP;66;[TCP ACKed unseen segment] 80  >  59784 [FIN, ACK] Seq=1 Ack=2 Win=146 Len=0 TSval=4294954955 TSecr=3246947434
9;4.955.326.064;10.0.2.4;10.0.2.6;TCP;66;[TCP Previous segment not captured] 59788  >  80 [FIN, ACK] Seq=2 Ack=2 Win=501 Len=0 TSval=3246962426 TSecr=4294954955
10;4.955.472.168;10.0.2.4;10.0.2.6;TCP;66;[TCP Previous segment not captured] 59784  >  80 [FIN, ACK] Seq=2 Ack=2 Win=2430 Len=0 TSval=3246962426 TSecr=4294954955
11;4.956.543.682;10.0.2.6;10.0.2.4;TCP;66;[TCP ACKed unseen segment] 80  >  59788 [ACK] Seq=2 Ack=3 Win=54 Len=0 TSval=4294954955 TSecr=3246962426
12;4.956.544.204;10.0.2.6;10.0.2.4;TCP;66;[TCP ACKed unseen segment] 80  >  59784 [ACK] Seq=2 Ack=3 Win=146 Len=0 TSval=4294954955 TSecr=3246962426
