No.;Time;Source;Destination;Protocol;Length;Info
1;0.000000000;66.102.1.189;10.0.2.4;TLSv1.2;106;Application Data
2;0.000027481;10.0.2.4;66.102.1.189;TCP;54;44850  >  443 [ACK] Seq=1 Ack=53 Win=62780 Len=0
3;0.740384813;10.0.2.4;212.166.210.80;DNS;77;Standard query 0xcfc1 A chk.l2.nessus.org
4;0.974696746;10.0.2.4;216.58.201.163;TLSv1.2;153;Application Data
5;0.995206032;212.166.210.80;10.0.2.4;DNS;93;Standard query response 0xcfc1 A chk.l2.nessus.org A 255.255.255.255
6;1.000.354.519;10.0.2.4;212.166.210.80;DNS;110;Standard query 0xd66e A o6ksekqaae6gselemvrgsylogywxqobwfu3di.h.nessus.org
7;1.006.398.518;216.58.201.163;10.0.2.4;TLSv1.2;123;Application Data
8;1.006.458.084;10.0.2.4;216.58.201.163;TCP;54;33550  >  443 [ACK] Seq=100 Ack=70 Win=65535 Len=0
9;1.007.111.207;216.58.201.163;10.0.2.4;TLSv1.2;198;Application Data, Application Data, Application Data
10;1.007.129.689;10.0.2.4;216.58.201.163;TCP;54;33550  >  443 [ACK] Seq=100 Ack=214 Win=65535 Len=0
11;1.007.442.140;10.0.2.4;216.58.201.163;TLSv1.2;93;Application Data
12;1.141.238.183;216.58.201.163;10.0.2.4;TCP;60;443  >  33550 [ACK] Seq=214 Ack=139 Win=31923 Len=0
13;1.598.724.874;10.0.2.4;216.58.209.78;TLSv1.2;93;Application Data
14;1.609.915.724;216.58.209.78;10.0.2.4;TLSv1.2;93;Application Data
15;1.610.006.919;10.0.2.4;216.58.209.78;TCP;54;45034  >  443 [ACK] Seq=40 Ack=40 Win=64028 Len=0
16;2.354.373.885;212.166.210.80;10.0.2.4;DNS;126;Standard query response 0xd66e A o6ksekqaae6gselemvrgsylogywxqobwfu3di.h.nessus.org A 1.1.1.1
17;2.361.098.171;10.0.2.4;10.0.2.5;SNMP;85;get-next-request 1.3.6.1.2.1.1.1.0
18;2.361.581.886;PcsCompu_4e:fd:78;Broadcast;ARP;60;Who has 10.0.2.4? Tell 10.0.2.5
19;2.361.596.276;PcsCompu_24:13:8d;PcsCompu_4e:fd:78;ARP;42;10.0.2.4 is at 08:00:27:24:13:8d
20;2.361.985.986;10.0.2.5;10.0.2.4;ICMP;113;Destination unreachable (Port unreachable)
21;2.362.492.768;10.0.2.4;10.0.2.5;SNMP;85;get-next-request 1.3.6.1.2.1.1.1.0
22;2.362.771.806;10.0.2.5;10.0.2.4;ICMP;113;Destination unreachable (Port unreachable)
23;2.424.058.069;PcsCompu_24:13:8d;Broadcast;ARP;60;Who has 10.0.2.5? Tell 10.0.2.4
24;2.424.973.358;PcsCompu_4e:fd:78;PcsCompu_24:13:8d;ARP;60;10.0.2.5 is at 08:00:27:4e:fd:78
25;2.456.259.658;10.0.2.4;10.0.2.5;TCP;74;45784  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=71683584 TSecr=0 WS=128
26;2.456.441.238;10.0.2.4;10.0.2.5;TCP;74;54476  >  81 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=71683584 TSecr=0 WS=128
27;2.456.666.284;10.0.2.4;10.0.2.5;TCP;74;51736  >  8009 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=71683584 TSecr=0 WS=128
28;2.457.417.474;10.0.2.5;10.0.2.4;TCP;60;80  >  45784 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
29;2.457.417.863;10.0.2.5;10.0.2.4;TCP;60;81  >  54476 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
30;2.457.960.962;10.0.2.5;10.0.2.4;TCP;60;8009  >  51736 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
31;2.656.661.089;10.0.2.4;10.0.2.5;TCP;74;42736  >  22 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=71683784 TSecr=0 WS=128
32;2.657.049.910;10.0.2.5;10.0.2.4;TCP;60;22  >  42736 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
33;2.657.342.437;10.0.2.4;212.166.210.80;DNS;81;Standard query 0xf065 PTR 5.2.0.10.in-addr.arpa
34;2.671.675.073;212.166.210.80;10.0.2.4;DNS;81;Standard query response 0xf065 Refused PTR 5.2.0.10.in-addr.arpa
35;2.671.845.480;10.0.2.4;212.166.132.104;DNS;81;Standard query 0xf065 PTR 5.2.0.10.in-addr.arpa
36;2.683.454.427;212.166.132.104;10.0.2.4;DNS;81;Standard query response 0xf065 Refused PTR 5.2.0.10.in-addr.arpa
