;No.;Time;Source;Destination;Protocol;Length;Info
0;1;0.0;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
1;2;6.641399999999999e-05;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
2;3;10.010314766;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
3;4;10.010376401;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
4;5;20.020612495;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
5;6;20.020672167;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
6;7;27.392572421;10.0.2.10;216.58.209.66;TLSv1.2;93;Application Data
7;8;27.590276714;216.58.209.66;10.0.2.10;TCP;60;443  >  48672 [ACK] Seq=1 Ack=40 Win=32375 Len=0
8;9;28.544557872;216.58.209.66;10.0.2.10;TLSv1.2;93;Application Data
9;10;28.544647860999998;10.0.2.10;216.58.209.66;TCP;54;48672  >  443 [ACK] Seq=40 Ack=40 Win=64028 Len=0
10;11;29.508804737;10.0.2.10;216.58.209.66;TLSv1.2;222;Application Data
11;12;29.542539681999997;216.58.209.66;10.0.2.10;TLSv1.2;122;Application Data
12;13;29.542641462;10.0.2.10;216.58.209.66;TCP;54;48672  >  443 [ACK] Seq=208 Ack=108 Win=64028 Len=0
13;14;29.544238183;216.58.209.66;10.0.2.10;TLSv1.2;197;Application Data, Application Data, Application Data
14;15;29.54431124;10.0.2.10;216.58.209.66;TCP;54;48672  >  443 [ACK] Seq=208 Ack=251 Win=64028 Len=0
15;16;29.544803573000003;10.0.2.10;216.58.209.66;TLSv1.2;93;Application Data
16;17;29.60971804;216.58.209.66;10.0.2.10;TCP;60;443  >  48672 [ACK] Seq=251 Ack=247 Win=32168 Len=0
17;18;30.030918278;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
18;19;30.030978511;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
19;20;40.041173713;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
20;21;40.041240188;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
21;22;50.051464688;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
22;23;50.051525561999995;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
23;24;60.061742466000005;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
24;25;60.061809261;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
25;26;70.07217362600001;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
26;27;70.07231073300001;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
27;28;80.082555438;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
28;29;80.08261884699999;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
29;30;88.395864658;10.0.2.10;216.58.209.66;TLSv1.2;93;Application Data
30;31;88.413757713;216.58.209.66;10.0.2.10;TLSv1.2;93;Application Data
31;32;88.41385897299999;10.0.2.10;216.58.209.66;TCP;54;48672  >  443 [ACK] Seq=286 Ack=290 Win=64028 Len=0
32;33;90.09300589;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
33;34;90.093809905;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
34;35;93.59779772200001;PcsCompu_e3:36:61;RealtekU_12:35:00;ARP;42;Who has 10.0.2.1? Tell 10.0.2.10
35;36;93.598150132;RealtekU_12:35:00;PcsCompu_e3:36:61;ARP;60;10.0.2.1 is at 52:54:00:12:35:00
36;37;100.104131299;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
37;38;100.104243629;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
38;39;110.114530775;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
39;40;110.114607278;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
40;41;110.80043441299999;10.0.2.10;10.0.2.3;DHCP;324;DHCP Request  - Transaction ID 0xee64fdc5
41;42;110.910856884;10.0.2.3;10.0.2.10;DHCP;590;DHCP ACK      - Transaction ID 0xee64fdc5
42;43;115.869808118;PcsCompu_e3:36:61;PcsCompu_e1:c5:42;ARP;42;Who has 10.0.2.3? Tell 10.0.2.10
43;44;115.870105335;PcsCompu_e1:c5:42;PcsCompu_e3:36:61;ARP;60;10.0.2.3 is at 08:00:27:e1:c5:42
44;45;120.124901205;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
