;No.;Time;Source;Destination;Protocol;Length;Info
0;1;0.0;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
1;2;7.064300000000001e-05;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
2;3;10.010244681;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
3;4;10.010317076;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
4;5;19.347505528;PcsCompu_88:2b:41;Broadcast;ARP;60;Who has 10.0.2.15? Tell 10.0.2.5 (duplicate use of 10.0.2.5 detected!)
5;6;19.351451291;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
6;7;19.386033815;PcsCompu_88:2b:41;Broadcast;ARP;60;Who has 10.0.2.1? Tell 10.0.2.5 (duplicate use of 10.0.2.5 detected!)
7;8;20.020723765;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
8;9;20.020794919;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
9;10;30.031058379;PcsCompu_e3:36:61;PcsCompu_c7:0e:1a;ARP;42;10.0.2.5 is at 08:00:27:e3:36:61
10;11;30.031122058;PcsCompu_e3:36:61;PcsCompu_88:2b:41;ARP;42;10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
11;12;32.406018141;10.0.2.5;10.0.2.15;TCP;60;55077  >  21 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
12;13;32.406018231;10.0.2.5;10.0.2.15;TCP;60;55077  >  389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
13;14;32.406018282;10.0.2.5;10.0.2.15;TCP;60;55077  >  53 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
14;15;32.406018322;10.0.2.5;10.0.2.15;TCP;60;55077  >  1723 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
15;16;32.40616677;10.0.2.5;10.0.2.15;TCP;60;55077  >  22 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
16;17;32.40616682;10.0.2.5;10.0.2.15;TCP;60;55077  >  256 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
17;18;32.406302023;10.0.2.5;10.0.2.15;TCP;60;55077  >  23 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
18;19;32.406302073;10.0.2.5;10.0.2.15;TCP;60;55077  >  554 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
19;20;32.406448026999996;10.0.2.5;10.0.2.15;TCP;60;55077  >  443 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
20;21;32.406510864;10.0.2.5;10.0.2.15;TCP;60;55077  >  80 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
21;22;32.407146004;10.0.2.5;10.0.2.15;TCP;58;[TCP Out-Of-Order] 55077  >  21 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
22;23;32.407220925;10.0.2.5;10.0.2.15;TCP;58;[TCP Out-Of-Order] 55077  >  389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
23;24;32.407353623;10.0.2.5;10.0.2.15;TCP;58;[TCP Out-Of-Order] 55077  >  53 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
24;25;32.407454783;10.0.2.5;10.0.2.15;TCP;58;[TCP Out-Of-Order] 55077  >  1723 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
25;26;32.407555972;10.0.2.5;10.0.2.15;TCP;58;[TCP Out-Of-Order] 55077  >  22 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
26;27;32.407626294;10.0.2.5;10.0.2.15;TCP;58;[TCP Out-Of-Order] 55077  >  256 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
27;28;32.407836103;10.0.2.15;10.0.2.5;TCP;60;21  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
28;29;32.407836233000005;10.0.2.15;10.0.2.5;TCP;60;389  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
29;30;32.407836284;10.0.2.15;10.0.2.5;TCP;60;53  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
30;31;32.407836334;10.0.2.15;10.0.2.5;TCP;60;1723  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
31;32;32.407836384;10.0.2.15;10.0.2.5;TCP;60;22  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
32;33;32.40799465;10.0.2.15;10.0.2.5;TCP;60;256  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
33;34;32.40804265;10.0.2.5;10.0.2.15;TCP;58;[TCP Out-Of-Order] 55077  >  23 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
34;35;32.408191529;10.0.2.5;10.0.2.15;TCP;58;[TCP Out-Of-Order] 55077  >  554 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
35;36;32.408329708000004;10.0.2.15;10.0.2.5;TCP;60;23  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
36;37;32.408369302;10.0.2.5;10.0.2.15;TCP;58;[TCP Out-Of-Order] 55077  >  443 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
37;38;32.408455494;10.0.2.15;10.0.2.5;TCP;60;554  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
38;39;32.408537958000004;10.0.2.5;10.0.2.15;TCP;58;[TCP Out-Of-Order] 55077  >  80 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
39;40;32.408591538;10.0.2.15;10.0.2.5;TCP;60;443  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
40;41;32.408708127;10.0.2.15;10.0.2.5;TCP;60;80  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
41;42;32.417099547;10.0.2.15;10.0.2.5;TCP;54;21  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
42;43;32.417222828;10.0.2.15;10.0.2.5;TCP;54;389  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
43;44;32.417388608;10.0.2.15;10.0.2.5;TCP;54;53  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
44;45;32.417525785;10.0.2.15;10.0.2.5;TCP;54;1723  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
45;46;32.417664776;10.0.2.15;10.0.2.5;TCP;54;22  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
46;47;32.417778078000005;10.0.2.15;10.0.2.5;TCP;54;256  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
47;48;32.417921076;10.0.2.15;10.0.2.5;TCP;54;23  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
48;49;32.418039758;10.0.2.15;10.0.2.5;TCP;54;554  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
49;50;32.418159161999995;10.0.2.15;10.0.2.5;TCP;54;443  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
50;51;32.418257596;10.0.2.15;10.0.2.5;TCP;54;80  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
51;52;32.419018582;10.0.2.5;10.0.2.15;TCP;60;55077  >  113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
52;53;32.419018662;10.0.2.5;10.0.2.15;TCP;60;55077  >  25 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
53;54;32.419104241999996;10.0.2.5;10.0.2.15;TCP;60;55077  >  3389 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
54;55;32.419104292;10.0.2.5;10.0.2.15;TCP;60;55077  >  636 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
55;56;32.419232042;10.0.2.5;10.0.2.15;TCP;60;55077  >  990 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
56;57;32.419232092;10.0.2.5;10.0.2.15;TCP;60;55077  >  738 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
57;58;32.419402611;10.0.2.5;10.0.2.15;TCP;60;55077  >  599 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
58;59;32.419501136;10.0.2.5;10.0.2.15;TCP;60;55077  >  1357 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
59;60;32.419501186;10.0.2.5;10.0.2.15;TCP;60;55077  >  13714 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
60;61;32.419677146;10.0.2.5;10.0.2.15;TCP;60;55077  >  676 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
61;62;32.419730996;10.0.2.5;10.0.2.15;TCP;60;55077  >  2033 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
62;63;32.419849278;10.0.2.5;10.0.2.15;TCP;60;55077  >  825 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
63;64;32.419920461;10.0.2.5;10.0.2.15;TCP;60;55077  >  3632 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
64;65;32.419988659;10.0.2.5;10.0.2.15;TCP;60;55077  >  8000 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
65;66;32.420114204;10.0.2.5;10.0.2.15;TCP;60;55077  >  290 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
66;67;32.420114264;10.0.2.5;10.0.2.15;TCP;60;55077  >  1026 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
67;68;32.420240770999996;10.0.2.5;10.0.2.15;TCP;60;55077  >  485 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
68;69;32.420240842;10.0.2.5;10.0.2.15;TCP;60;55077  >  687 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
69;70;32.420374402;10.0.2.5;10.0.2.15;TCP;60;55077  >  462 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
70;71;32.420374462;10.0.2.5;10.0.2.15;TCP;60;55077  >  7464 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
71;72;32.420499997;10.0.2.5;10.0.2.15;TCP;60;55077  >  388 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
72;73;32.420500057;10.0.2.5;10.0.2.15;TCP;60;55077  >  999 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
73;74;32.420640029;10.0.2.5;10.0.2.15;TCP;60;55077  >  2025 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
74;75;32.420719799000004;10.0.2.5;10.0.2.15;TCP;60;55077  >  1407 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
75;76;32.420813625;10.0.2.5;10.0.2.15;TCP;60;55077  >  657 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
76;77;32.420916227;10.0.2.5;10.0.2.15;TCP;60;55077  >  889 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
77;78;32.420994934;10.0.2.5;10.0.2.15;TCP;60;55077  >  3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
78;79;32.421064565;10.0.2.5;10.0.2.15;TCP;60;55077  >  1423 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
79;80;32.421178047;10.0.2.5;10.0.2.15;TCP;60;55077  >  436 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
80;81;32.42123813;10.0.2.5;10.0.2.15;TCP;60;55077  >  190 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
81;82;32.421331895;10.0.2.5;10.0.2.15;TCP;60;55077  >  46 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
82;83;32.421331966;10.0.2.5;10.0.2.15;TCP;60;55077  >  2903 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
83;84;32.421452722;10.0.2.5;10.0.2.15;TCP;60;55077  >  9104 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
84;85;32.421452762;10.0.2.5;10.0.2.15;TCP;60;55077  >  615 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
85;86;32.421588807;10.0.2.5;10.0.2.15;TCP;60;55077  >  1383 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
86;87;32.421588887;10.0.2.5;10.0.2.15;TCP;60;55077  >  588 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
87;88;32.421696799;10.0.2.5;10.0.2.15;TCP;60;55077  >  54 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
88;89;32.421775657;10.0.2.5;10.0.2.15;TCP;60;55077  >  1408 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
89;90;32.421863912;10.0.2.5;10.0.2.15;TCP;60;55077  >  169 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
90;91;32.423204413;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
91;92;32.423400531;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  25 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
92;93;32.423578053;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  3389 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
93;94;32.423670977;10.0.2.15;10.0.2.5;TCP;60;113  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
94;95;32.423733855;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  636 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
95;96;32.423962927;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  990 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
96;97;32.424058025;10.0.2.15;10.0.2.5;TCP;60;25  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
97;98;32.424170261;10.0.2.15;10.0.2.5;TCP;60;3389  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
98;99;32.424170441;10.0.2.15;10.0.2.5;TCP;60;636  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
99;100;32.424198313000005;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  738 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
100;101;32.42428183;10.0.2.15;10.0.2.5;TCP;60;990  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
101;102;32.424336913000005;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  599 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
102;103;32.424463059000004;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  1357 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
103;104;32.424571553;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  13714 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
104;105;32.424616998000005;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  676 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
105;106;32.428104473000005;10.0.2.15;10.0.2.5;TCP;60;738  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
106;107;32.428104563000005;10.0.2.15;10.0.2.5;TCP;60;599  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
107;108;32.428104613;10.0.2.15;10.0.2.5;TCP;60;1357  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
108;109;32.428104653000005;10.0.2.15;10.0.2.5;TCP;60;13714  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
109;110;32.428104703;10.0.2.15;10.0.2.5;TCP;60;676  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
110;111;32.42836479;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  2033 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
111;112;32.428421596999996;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  825 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
112;113;32.428559064;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  3632 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
113;114;32.428623505;10.0.2.15;10.0.2.5;TCP;60;2033  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
114;115;32.428623575;10.0.2.15;10.0.2.5;TCP;60;825  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
115;116;32.428741896999995;10.0.2.15;10.0.2.5;TCP;60;3632  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
116;117;32.428789857;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  8000 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
117;118;32.428835011;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  290 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
118;119;32.428960986999996;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  1026 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
119;120;32.429119494;10.0.2.15;10.0.2.5;TCP;60;8000  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
120;121;32.429119564000004;10.0.2.15;10.0.2.5;TCP;60;290  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
121;122;32.429171943;10.0.2.15;10.0.2.5;TCP;60;1026  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
122;123;32.429211627;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  485 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
123;124;32.429262512;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  687 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
124;125;32.429387206;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  462 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
125;126;32.429498855;10.0.2.15;10.0.2.5;TCP;60;485  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
126;127;32.429498955;10.0.2.15;10.0.2.5;TCP;60;687  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
127;128;32.42953902;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  7464 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
128;129;32.429645991;10.0.2.15;10.0.2.5;TCP;60;462  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
129;130;32.429760585;10.0.2.15;10.0.2.5;TCP;60;7464  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
130;131;32.429820528;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  388 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
131;132;32.429952595;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  999 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
132;133;32.430075349;10.0.2.15;10.0.2.5;TCP;60;388  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
133;134;32.430241109;10.0.2.15;10.0.2.5;TCP;60;999  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
134;135;32.430292285;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  2025 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
135;136;32.430515834;10.0.2.5;10.0.2.15;TCP;58;[TCP Retransmission] 55077  >  1407 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
