No.;Time;Source;Destination;Protocol;Length;Info
1;0.000000000;10.0.2.7;10.0.2.255;BROWSER;239;Browser Election Request
2;1.999.574.910;10.0.2.7;10.0.2.255;BROWSER;239;Browser Election Request
3;3.998.705.321;10.0.2.7;10.0.2.255;BROWSER;239;Browser Election Request
4;5.998.681.472;10.0.2.7;10.0.2.255;BROWSER;239;Browser Election Request
5;5.998.681.814;10.0.2.7;10.0.2.255;NBNS;110;Registration NB <01><02>__MSBROWSE__<02><01>
6;7.999.026.013;10.0.2.7;10.0.2.255;NBNS;110;Registration NB <01><02>__MSBROWSE__<02><01>
7;7.999.026.242;10.0.2.7;10.0.2.255;NBNS;110;Registration NB <01><02>__MSBROWSE__<02><01>
8;9.998.814.030;10.0.2.7;10.0.2.255;NBNS;110;Registration NB <01><02>__MSBROWSE__<02><01>
9;9.998.814.306;10.0.2.7;10.0.2.255;NBNS;110;Registration NB WORKGROUP<1d>
10;10.569.329.395;PcsCompu_10:c0:df;Broadcast;ARP;42;Who has 10.0.2.3? Tell 10.0.2.8
11;10.570.303.794;PcsCompu_ac:65:11;PcsCompu_10:c0:df;ARP;60;10.0.2.3 is at 08:00:27:ac:65:11
12;10.570.321.745;10.0.2.8;10.0.2.3;DHCP;324;DHCP Request  - Transaction ID 0x52571034
13;10.652.170.384;10.0.2.3;10.0.2.8;DHCP;590;DHCP ACK      - Transaction ID 0x52571034
14;11.998.616.941;10.0.2.7;10.0.2.255;NBNS;110;Registration NB WORKGROUP<1d>
15;11.998.990.721;10.0.2.7;10.0.2.255;NBNS;110;Registration NB WORKGROUP<1d>
16;13.999.151.385;10.0.2.7;10.0.2.255;NBNS;110;Registration NB WORKGROUP<1d>
17;13.999.596.934;10.0.2.7;10.0.2.255;BROWSER;227;Request Announcement 
18;14.000.281.148;10.0.2.7;10.0.2.255;BROWSER;286;Local Master Announcement METASPLOITABLE, Workstation, Server, Print Queue Server, Xenix Server, NT Workstation, NT Server, Master Browser
19;14.000.689.873;10.0.2.7;10.0.2.255;BROWSER;257;Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum
