"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61"
"2","0.000079750","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.15 detected!)"
"3","10.010355933","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61"
"4","10.010429121","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.15 detected!)"
"5","20.021273304","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61"
"6","20.021367019","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.15 detected!)"
"7","30.032020262","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61"
"8","30.032097266","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.15 detected!)"
"9","40.042811666","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61"
"10","40.042896625","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.15 detected!)"
"11","50.053250484","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61"
"12","50.053339732","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.15 detected!)"
"13","51.740249296","10.0.2.10","10.0.2.15","ICMP","98","Echo (ping) request  id=0x10bb, seq=1/256, ttl=64 (reply in 14)"
"14","51.740715811","10.0.2.15","10.0.2.10","ICMP","98","Echo (ping) reply    id=0x10bb, seq=1/256, ttl=64 (request in 13)"
