"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.10","80.58.61.250","DNS","75","Standard query 0x425a A mail.google.com"
"2","0.000031484","10.0.2.10","80.58.61.250","DNS","75","Standard query 0xfe5c AAAA mail.google.com"
"3","0.004716322","80.58.61.250","10.0.2.10","DNS","118","Standard query response 0x425a A mail.google.com CNAME googlemail.l.google.com A 172.217.16.229"
"4","0.004716392","80.58.61.250","10.0.2.10","DNS","130","Standard query response 0xfe5c AAAA mail.google.com CNAME googlemail.l.google.com AAAA 2a00:1450:4003:803::2005"
"5","0.005965868","10.0.2.10","172.217.16.229","TCP","74","43666  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1233360296 TSecr=0 WS=128"
"6","0.011176203","172.217.16.229","10.0.2.10","TCP","60","443  >  43666 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
"7","0.011237318","10.0.2.10","172.217.16.229","TCP","54","43666  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"8","0.012446788","10.0.2.10","172.217.16.229","TLSv1.3","571","Client Hello"
"9","0.040549551","172.217.16.229","10.0.2.10","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"10","0.040583652","10.0.2.10","172.217.16.229","TCP","54","43666  >  443 [ACK] Seq=518 Ack=1461 Win=62780 Len=0"
"11","0.040767298","172.217.16.229","10.0.2.10","TLSv1.3","1249","Application Data"
"12","0.040774886","10.0.2.10","172.217.16.229","TCP","54","43666  >  443 [ACK] Seq=518 Ack=2656 Win=62780 Len=0"
"13","0.063481020","10.0.2.10","80.58.61.250","DNS","73","Standard query 0x425a A ocsp.pki.goog"
"14","0.063510310","10.0.2.10","80.58.61.250","DNS","73","Standard query 0x0747 AAAA ocsp.pki.goog"
"15","0.068484404","80.58.61.250","10.0.2.10","DNS","124","Standard query response 0x425a A ocsp.pki.goog CNAME pki-goog.l.google.com A 216.58.211.35"
"16","0.068484464","80.58.61.250","10.0.2.10","DNS","136","Standard query response 0x0747 AAAA ocsp.pki.goog CNAME pki-goog.l.google.com AAAA 2a00:1450:4003:809::2003"
"17","0.068855385","10.0.2.10","216.58.211.35","TCP","74","36172  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3231461473 TSecr=0 WS=128"
"18","0.073944031","216.58.211.35","10.0.2.10","TCP","60","80  >  36172 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
"19","0.073987704","10.0.2.10","216.58.211.35","TCP","54","36172  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"20","0.074213169","10.0.2.10","216.58.211.35","OCSP","453","Request"
"21","0.182827835","216.58.211.35","10.0.2.10","OCSP","756","Response"
"22","0.182863269","10.0.2.10","216.58.211.35","TCP","54","36172  >  80 [ACK] Seq=400 Ack=703 Win=63882 Len=0"
"23","0.185499936","10.0.2.10","172.217.16.229","TLSv1.3","118","Change Cipher Spec, Application Data"
"24","0.185860642","10.0.2.10","172.217.16.229","TLSv1.3","224","Application Data"
"25","0.186155843","172.217.16.229","10.0.2.10","TCP","60","443  >  43666 [ACK] Seq=2656 Ack=752 Win=32017 Len=0"
"26","0.190594977","172.217.16.229","10.0.2.10","TLSv1.3","665","Application Data, Application Data, Application Data"
"27","0.190619445","10.0.2.10","172.217.16.229","TCP","54","43666  >  443 [ACK] Seq=752 Ack=3267 Win=62780 Len=0"
"28","0.191269087","10.0.2.10","172.217.16.229","TLSv1.3","85","Application Data"
"29","0.262125461","172.217.16.229","10.0.2.10","TCP","60","443  >  43666 [ACK] Seq=3267 Ack=783 Win=31986 Len=0"
"30","3.317072172","10.0.2.10","172.217.16.229","TCP","2974","43666  >  443 [PSH, ACK] Seq=783 Ack=3267 Win=62780 Len=2920 [TCP segment of a reassembled PDU]"
"31","3.317257943","10.0.2.10","172.217.16.229","TLSv1.3","387","Application Data"
"32","3.318037792","172.217.16.229","10.0.2.10","TCP","60","443  >  43666 [ACK] Seq=3267 Ack=3703 Win=32768 Len=0"
"33","3.536184078","10.0.2.10","172.217.16.229","TCP","387","[TCP Retransmission] 43666  >  443 [PSH, ACK] Seq=3703 Ack=3267 Win=62780 Len=333"
"34","3.536423135","172.217.16.229","10.0.2.10","TCP","60","443  >  43666 [ACK] Seq=3267 Ack=4036 Win=32435 Len=0"
"35","3.653429610","172.217.16.229","10.0.2.10","TLSv1.3","5894","Application Data, Application Data, Application Data, Application Data"
"36","3.653560030","10.0.2.10","172.217.16.229","TCP","54","43666  >  443 [ACK] Seq=4036 Ack=9107 Win=61320 Len=0"
"37","3.653883147","172.217.16.229","10.0.2.10","TLSv1.3","1274","Application Data, Application Data"
"38","3.653905379","10.0.2.10","172.217.16.229","TCP","54","43666  >  443 [ACK] Seq=4036 Ack=10327 Win=60100 Len=0"
"39","3.654454312","172.217.16.229","10.0.2.10","TLSv1.3","7354","Application Data, Application Data, Application Data, Application Data, Application Data"
"40","3.654486168","10.0.2.10","172.217.16.229","TCP","54","43666  >  443 [ACK] Seq=4036 Ack=17627 Win=55480 Len=0"
"41","3.654707683","172.217.16.229","10.0.2.10","TLSv1.3","1414","Application Data, Application Data"
"42","3.654727029","10.0.2.10","172.217.16.229","TCP","54","43666  >  443 [ACK] Seq=4036 Ack=18987 Win=54120 Len=0"
"43","3.657311854","172.217.16.229","10.0.2.10","TLSv1.3","1484","Application Data"
"44","3.657345925","10.0.2.10","172.217.16.229","TCP","54","43666  >  443 [ACK] Seq=4036 Ack=20417 Win=62780 Len=0"
"45","3.659695910","172.217.16.229","10.0.2.10","TLSv1.3","14654","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"46","3.659723496","10.0.2.10","172.217.16.229","TCP","54","43666  >  443 [ACK] Seq=4036 Ack=35017 Win=55480 Len=0"
"47","3.659896597","172.217.16.229","10.0.2.10","TLSv1.3","1514","Application Data, Application Data"
