"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.5","10.0.2.15","ICMP","42","Echo (ping) request  id=0x7ee7, seq=32487/59262, ttl=64 (no response found!)"
"2","0.000063269","10.0.2.15","10.0.2.5","ICMP","42","Echo (ping) request  id=0x7ee7, seq=32487/59262, ttl=64 (reply in 6)"
"3","0.000077015","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"4","0.000091061","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"5","0.000752562","PcsCompu_c7:0e:1a","Broadcast","ARP","60","Who has 10.0.2.5? Tell 10.0.2.15"
"6","0.000752712","10.0.2.5","10.0.2.15","ICMP","60","Echo (ping) reply    id=0x7ee7, seq=32487/59262, ttl=64 (request in 2)"
"7","0.000752762","10.0.2.15","10.0.2.5","ICMP","60","Echo (ping) reply    id=0x7ee7, seq=32487/59262, ttl=64"
"8","0.003813655","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"9","0.004066248","PcsCompu_e3:36:61","Broadcast","ARP","42","Who has 10.0.2.15? Tell 10.0.2.10"
"10","0.004118355","PcsCompu_e3:36:61","Broadcast","ARP","42","Who has 10.0.2.5? Tell 10.0.2.10"
"11","0.004465311","PcsCompu_c7:0e:1a","PcsCompu_e3:36:61","ARP","60","10.0.2.15 is at 08:00:27:c7:0e:1a"
"12","0.004478646","10.0.2.5","10.0.2.15","ICMP","42","Echo (ping) reply    id=0x7ee7, seq=32487/59262, ttl=64"
"13","0.004571310","PcsCompu_88:2b:41","PcsCompu_e3:36:61","ARP","60","10.0.2.5 is at 08:00:27:88:2b:41"
"14","0.004576018","10.0.2.15","10.0.2.5","ICMP","42","Echo (ping) reply    id=0x7ee7, seq=32487/59262, ttl=64"
"15","1.010689100","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"16","1.010762207","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"17","2.021011021","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"18","2.021080532","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"19","3.031288289","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"20","3.031350946","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"21","4.041684620","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"22","4.041754230","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"23","14.051948908","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"24","14.052022326","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"25","24.062285214","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"26","24.062347821","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"27","34.072525502","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"28","34.072592638","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"29","44.083110244","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"30","44.083170607","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
