,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,10.0.2.5,10.0.2.15,ICMP,42,"Echo (ping) request  id=0x7ee7, seq=32487/59262, ttl=64 (no response found!)"
1,2,6.3269e-05,10.0.2.15,10.0.2.5,ICMP,42,"Echo (ping) request  id=0x7ee7, seq=32487/59262, ttl=64 (reply in 6)"
2,3,7.7015e-05,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
3,4,9.1061e-05,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
4,5,0.000752562,PcsCompu_c7:0e:1a,Broadcast,ARP,60,Who has 10.0.2.5? Tell 10.0.2.15
5,6,0.000752712,10.0.2.5,10.0.2.15,ICMP,60,"Echo (ping) reply    id=0x7ee7, seq=32487/59262, ttl=64 (request in 2)"
6,7,0.0007527619999999999,10.0.2.15,10.0.2.5,ICMP,60,"Echo (ping) reply    id=0x7ee7, seq=32487/59262, ttl=64"
7,8,0.003813655,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
8,9,0.004066248,PcsCompu_e3:36:61,Broadcast,ARP,42,Who has 10.0.2.15? Tell 10.0.2.10
9,10,0.004118355,PcsCompu_e3:36:61,Broadcast,ARP,42,Who has 10.0.2.5? Tell 10.0.2.10
10,11,0.004465311,PcsCompu_c7:0e:1a,PcsCompu_e3:36:61,ARP,60,10.0.2.15 is at 08:00:27:c7:0e:1a
11,12,0.004478646,10.0.2.5,10.0.2.15,ICMP,42,"Echo (ping) reply    id=0x7ee7, seq=32487/59262, ttl=64"
12,13,0.00457131,PcsCompu_88:2b:41,PcsCompu_e3:36:61,ARP,60,10.0.2.5 is at 08:00:27:88:2b:41
13,14,0.004576018,10.0.2.15,10.0.2.5,ICMP,42,"Echo (ping) reply    id=0x7ee7, seq=32487/59262, ttl=64"
14,15,1.0106891,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
15,16,1.010762207,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
16,17,2.021011021,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
17,18,2.021080532,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
18,19,3.031288289,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
19,20,3.0313509460000003,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
20,21,4.04168462,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
21,22,4.04175423,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
22,23,14.051948908,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
23,24,14.052022326,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
24,25,24.062285214,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
25,26,24.062347821,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
26,27,34.072525502,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
27,28,34.072592638,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
28,29,44.083110244,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
29,30,44.083170607,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
30,31,44.605632172,PcsCompu_88:2b:41,Broadcast,ARP,60,Who has 10.0.2.3? Tell 10.0.2.5 (duplicate use of 10.0.2.5 detected!)
31,32,47.153050731,10.0.2.5,10.0.2.15,ICMP,98,"Echo (ping) request  id=0x7713, seq=1/256, ttl=64 (no response found!)"
