"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.10","172.217.16.227","TCP","54","51526  >  80 [ACK] Seq=1 Ack=1 Win=63791 Len=0"
"2","0.000168801","172.217.16.227","10.0.2.10","TCP","60","[TCP ACKed unseen segment] 80  >  51526 [ACK] Seq=1 Ack=2 Win=32768 Len=0"
"3","0.027852890","10.0.2.10","216.58.201.174","TLSv1.2","269","Application Data"
"4","0.027902096","10.0.2.10","216.58.201.174","TLSv1.2","518","Application Data"
"5","0.028028496","10.0.2.10","216.58.201.174","TLSv1.2","708","Application Data"
"6","0.028484048","216.58.201.174","10.0.2.10","TCP","60","443  >  59672 [ACK] Seq=1 Ack=680 Win=32768 Len=0"
"7","0.139290498","10.0.2.10","216.58.201.174","TLSv1.2","211","Application Data"
"8","0.139330844","10.0.2.10","216.58.201.174","TLSv1.2","487","Application Data"
"9","0.139404930","10.0.2.10","216.58.201.174","TLSv1.2","894","Application Data"
"10","0.139844503","216.58.201.174","10.0.2.10","TCP","60","443  >  59672 [ACK] Seq=1 Ack=1491 Win=31957 Len=0"
"11","0.139935700","216.58.201.174","10.0.2.10","TCP","60","443  >  59672 [ACK] Seq=1 Ack=2764 Win=32768 Len=0"
"12","0.183046904","216.58.201.174","10.0.2.10","TLSv1.2","695","Application Data, Application Data, Application Data"
"13","0.225423305","10.0.2.10","216.58.201.174","TCP","54","59672  >  443 [ACK] Seq=2764 Ack=642 Win=64028 Len=0"
"14","0.225671544","216.58.201.174","10.0.2.10","TLSv1.2","93","Application Data"
"15","0.225685377","10.0.2.10","216.58.201.174","TCP","54","59672  >  443 [ACK] Seq=2764 Ack=681 Win=64028 Len=0"
"16","0.225837638","10.0.2.10","216.58.201.174","TLSv1.2","93","Application Data"
"17","0.268854618","216.58.201.174","10.0.2.10","TLSv1.2","511","Application Data, Application Data, Application Data"
"18","0.268897279","10.0.2.10","216.58.201.174","TCP","54","59672  >  443 [ACK] Seq=2803 Ack=1138 Win=64028 Len=0"
"19","1.535750980","10.0.2.10","172.217.16.227","TCP","54","51524  >  80 [ACK] Seq=1 Ack=1 Win=63791 Len=0"
"20","1.535921655","172.217.16.227","10.0.2.10","TCP","60","[TCP ACKed unseen segment] 80  >  51524 [ACK] Seq=1 Ack=2 Win=31572 Len=0"
"21","3.166396634","10.0.2.10","216.58.211.229","TLSv1.2","2047","Application Data"
"22","3.166537980","10.0.2.10","216.58.211.229","TLSv1.2","160","Application Data"
"23","3.167185797","216.58.211.229","10.0.2.10","TCP","60","443  >  44564 [ACK] Seq=1 Ack=1994 Win=32768 Len=0"
"24","3.199627239","216.58.211.229","10.0.2.10","TCP","60","443  >  44564 [ACK] Seq=1 Ack=2100 Win=32662 Len=0"
"25","3.327727110","10.0.2.10","172.217.16.227","TCP","54","51542  >  80 [ACK] Seq=1 Ack=1 Win=63882 Len=0"
"26","3.327764319","10.0.2.10","172.217.16.227","TCP","54","51540  >  80 [ACK] Seq=1 Ack=1 Win=63882 Len=0"
"27","3.327975871","172.217.16.227","10.0.2.10","TCP","60","[TCP ACKed unseen segment] 80  >  51542 [ACK] Seq=1 Ack=2 Win=32369 Len=0"
"28","3.327975951","172.217.16.227","10.0.2.10","TCP","60","[TCP ACKed unseen segment] 80  >  51540 [ACK] Seq=1 Ack=2 Win=32369 Len=0"
"29","3.482627404","216.58.211.229","10.0.2.10","TLSv1.2","1514","Application Data"
"30","3.482664743","10.0.2.10","216.58.211.229","TCP","54","44564  >  443 [ACK] Seq=2100 Ack=1461 Win=62780 Len=0"
"31","3.482841652","216.58.211.229","10.0.2.10","TLSv1.2","202","Application Data, Application Data"
"32","3.482849631","10.0.2.10","216.58.211.229","TCP","54","44564  >  443 [ACK] Seq=2100 Ack=1609 Win=62780 Len=0"
"33","3.496633414","216.58.211.229","10.0.2.10","TLSv1.2","223","Application Data, Application Data"
"34","3.496655637","10.0.2.10","216.58.211.229","TCP","54","44564  >  443 [ACK] Seq=2100 Ack=1778 Win=62780 Len=0"
"35","3.512760075","10.0.2.10","216.58.211.229","TLSv1.2","93","Application Data"
"36","3.703698300","216.58.211.229","10.0.2.10","TCP","60","443  >  44564 [ACK] Seq=1778 Ack=2139 Win=32623 Len=0"
"37","3.879712247","10.0.2.10","216.58.211.229","TLSv1.2","1064","Application Data"
"38","3.879877640","10.0.2.10","216.58.211.229","TLSv1.2","177","Application Data"
"39","3.880257110","216.58.211.229","10.0.2.10","TCP","60","443  >  44564 [ACK] Seq=1778 Ack=3272 Win=31490 Len=0"
"40","4.162952751","216.58.211.229","10.0.2.10","TLSv1.2","1263","Application Data, Application Data"
"41","4.203722995","10.0.2.10","216.58.211.229","TCP","54","44564  >  443 [ACK] Seq=3272 Ack=2987 Win=62780 Len=0"
"42","4.203968514","216.58.211.229","10.0.2.10","TLSv1.2","356","Application Data, Application Data, Application Data"
"43","4.203981174","10.0.2.10","216.58.211.229","TCP","54","44564  >  443 [ACK] Seq=3272 Ack=3289 Win=62780 Len=0"
"44","4.204187082","10.0.2.10","216.58.211.229","TLSv1.2","93","Application Data"
"45","4.208817611","216.58.211.229","10.0.2.10","TCP","60","443  >  44564 [ACK] Seq=3289 Ack=3311 Win=31451 Len=0"
"46","4.870729291","10.0.2.10","216.58.211.227","TLSv1.2","171","Application Data"
"47","4.967323339","216.58.211.227","10.0.2.10","TCP","60","443  >  57802 [ACK] Seq=1 Ack=118 Win=31544 Len=0"
"48","5.011623319","216.58.211.227","10.0.2.10","TLSv1.2","266","Application Data, Application Data, Application Data, Application Data"
"49","5.012115137","10.0.2.10","216.58.211.227","TLSv1.2","93","Application Data"
"50","5.218579986","216.58.211.227","10.0.2.10","TCP","60","443  >  57802 [ACK] Seq=213 Ack=157 Win=31505 Len=0"
"51","6.143732837","10.0.2.10","172.217.16.227","TCP","54","51572  >  80 [ACK] Seq=1 Ack=1 Win=63882 Len=0"
"52","6.143863521","172.217.16.227","10.0.2.10","TCP","60","[TCP ACKed unseen segment] 80  >  51572 [ACK] Seq=1 Ack=2 Win=32369 Len=0"
"53","6.971581194","10.0.2.10","80.58.61.250","DNS","87","Standard query 0x98c1 A chat-pa.clients6.google.com"
"54","7.092223698","80.58.61.250","10.0.2.10","DNS","103","Standard query response 0x98c1 A chat-pa.clients6.google.com A 216.58.211.42"
"55","7.093109550","10.0.2.10","216.58.211.42","TCP","74","36594  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1912063117 TSecr=0 WS=128"
"56","7.131350577","10.0.2.10","216.58.201.174","TLSv1.2","278","Application Data"
"57","7.131397519","10.0.2.10","216.58.201.174","TLSv1.2","488","Application Data"
