"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.8","104.22.27.77","TCP","74","59112  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=278343103 TSecr=0 WS=128"
"2","0.004627483","104.22.27.77","10.0.2.8","TCP","60","80  >  59112 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
"3","0.004652467","10.0.2.8","104.22.27.77","TCP","54","59112  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.432691813","10.0.2.8","104.22.27.77","HTTP","429","GET /index.php/Top_10_2010-A1 HTTP/1.1 "
"5","0.453169600","104.22.27.77","10.0.2.8","HTTP","458","HTTP/1.1 301 Moved Permanently "
"6","0.453191386","10.0.2.8","104.22.27.77","TCP","54","59112  >  80 [ACK] Seq=376 Ack=405 Win=63836 Len=0"
"7","0.462584186","10.0.2.8","80.58.61.250","DNS","73","Standard query 0x6790 A www.owasp.org"
"8","0.462607351","10.0.2.8","80.58.61.250","DNS","73","Standard query 0xa397 AAAA www.owasp.org"
"9","0.463289787","10.0.2.8","80.58.61.250","DNS","73","Standard query 0xb428 A www.owasp.org"
"10","0.479757391","10.0.2.8","104.22.27.77","TCP","74","55694  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=278343582 TSecr=0 WS=128"
"11","0.484384995","104.22.27.77","10.0.2.8","TCP","60","443  >  55694 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
"12","0.484409014","10.0.2.8","104.22.27.77","TCP","54","55694  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"13","0.485498421","10.0.2.8","104.22.27.77","TLSv1.3","571","Client Hello"
"14","0.492956183","104.22.27.77","10.0.2.8","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"15","0.492984434","10.0.2.8","104.22.27.77","TCP","54","55694  >  443 [ACK] Seq=518 Ack=1461 Win=62780 Len=0"
"16","0.493290756","104.22.27.77","10.0.2.8","TLSv1.3","1374","Application Data"
"17","0.493297726","10.0.2.8","104.22.27.77","TCP","54","55694  >  443 [ACK] Seq=518 Ack=2781 Win=62780 Len=0"
"18","0.503782764","10.0.2.8","104.22.27.77","TLSv1.3","118","Change Cipher Spec, Application Data"
"19","0.504085751","10.0.2.8","104.22.27.77","TLSv1.3","224","Application Data"
"20","0.504347938","10.0.2.8","104.22.27.77","TLSv1.3","323","Application Data"
"21","0.504476935","104.22.27.77","10.0.2.8","TCP","60","443  >  55694 [ACK] Seq=2781 Ack=752 Win=32017 Len=0"
