"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.5","10.0.2.255","BROWSER","286","Local Master Announcement METASPLOITABLE, Workstation, Server, Print Queue Server, Xenix Server, NT Workstation, NT Server, Master Browser"
"2","0.000000110","10.0.2.5","10.0.2.255","BROWSER","257","Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
"3","5.284299286","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"4","5.284363387","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"5","15.294627968","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"6","15.294697398","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"7","18.692879181","10.0.2.15","10.0.2.5","TCP","74","59890  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2551350133 TSecr=0 WS=128"
"8","18.692879261","10.0.2.15","10.0.2.5","TCP","74","37604  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2551350134 TSecr=0 WS=128"
"9","18.698530381","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 59890  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2551350133 TSecr=0 WS=128"
"10","18.698620089","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 37604  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2551350134 TSecr=0 WS=128"
"11","18.698991906","10.0.2.5","10.0.2.15","TCP","74","80  >  59890 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=584748 TSecr=2551350133 WS=64"
"12","18.698991986","10.0.2.5","10.0.2.15","TCP","60","443  >  37604 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"13","18.706675229","10.0.2.5","10.0.2.15","TCP","74","[TCP Retransmission] 80  >  59890 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=584748 TSecr=2551350133 WS=64"
"14","18.706821373","10.0.2.5","10.0.2.15","TCP","54","443  >  37604 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"15","18.707372081","10.0.2.15","10.0.2.5","TCP","66","59890  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2551350148 TSecr=584748"
"16","18.707372191","10.0.2.15","10.0.2.5","TCP","66","59890  >  80 [RST, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2551350148 TSecr=584748"
"17","18.714553704","10.0.2.15","10.0.2.5","TCP","66","[TCP Dup ACK 15#1] 59890  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2551350148 TSecr=584748"
"18","18.714637832","10.0.2.15","10.0.2.5","TCP","66","59890  >  80 [RST, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2551350148 TSecr=584748"
"19","18.740625095","RealtekU_12:35:00","Broadcast","ARP","60","Who has 10.0.2.15? Tell 10.0.2.1"
"20","23.770289812","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","Who has 10.0.2.15? Tell 10.0.2.10"
"21","23.770373839","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","Who has 10.0.2.5? Tell 10.0.2.10"
"22","23.770938176","PcsCompu_88:2b:41","PcsCompu_e3:36:61","ARP","60","10.0.2.5 is at 08:00:27:88:2b:41"
"23","23.771056448","PcsCompu_c7:0e:1a","PcsCompu_e3:36:61","ARP","60","10.0.2.15 is at 08:00:27:c7:0e:1a"
"24","25.304978581","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"25","25.305043183","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"26","31.726138690","10.0.2.15","10.0.2.5","TCP","74","60782  >  23 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2551363167 TSecr=0 WS=128"
"27","31.726138820","10.0.2.15","10.0.2.5","TCP","74","49864  >  199 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2551363167 TSecr=0 WS=128"
"28","31.730512502","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 60782  >  23 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2551363167 TSecr=0 WS=128"
"29","31.730620875","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 49864  >  199 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2551363167 TSecr=0 WS=128"
"30","31.731020624","10.0.2.5","10.0.2.15","TCP","74","23  >  60782 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=586052 TSecr=2551363167 WS=64"
"31","31.731150197","10.0.2.5","10.0.2.15","TCP","60","199  >  49864 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
