"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"2","0.000066414","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"3","10.010314766","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"4","10.010376401","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"5","20.020612495","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"6","20.020672167","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"7","27.392572421","10.0.2.10","216.58.209.66","TLSv1.2","93","Application Data"
"8","27.590276714","216.58.209.66","10.0.2.10","TCP","60","443  >  48672 [ACK] Seq=1 Ack=40 Win=32375 Len=0"
"9","28.544557872","216.58.209.66","10.0.2.10","TLSv1.2","93","Application Data"
"10","28.544647861","10.0.2.10","216.58.209.66","TCP","54","48672  >  443 [ACK] Seq=40 Ack=40 Win=64028 Len=0"
"11","29.508804737","10.0.2.10","216.58.209.66","TLSv1.2","222","Application Data"
"12","29.542539682","216.58.209.66","10.0.2.10","TLSv1.2","122","Application Data"
"13","29.542641462","10.0.2.10","216.58.209.66","TCP","54","48672  >  443 [ACK] Seq=208 Ack=108 Win=64028 Len=0"
"14","29.544238183","216.58.209.66","10.0.2.10","TLSv1.2","197","Application Data, Application Data, Application Data"
"15","29.544311240","10.0.2.10","216.58.209.66","TCP","54","48672  >  443 [ACK] Seq=208 Ack=251 Win=64028 Len=0"
"16","29.544803573","10.0.2.10","216.58.209.66","TLSv1.2","93","Application Data"
"17","29.609718040","216.58.209.66","10.0.2.10","TCP","60","443  >  48672 [ACK] Seq=251 Ack=247 Win=32168 Len=0"
"18","30.030918278","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"19","30.030978511","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"20","40.041173713","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
