"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.10","80.58.61.250","DNS","87","Standard query 0x3feb A safebrowsing.googleapis.com"
"2","0.000060223","10.0.2.10","80.58.61.250","DNS","87","Standard query 0x59f6 AAAA safebrowsing.googleapis.com"
"3","0.008280698","80.58.61.250","10.0.2.10","DNS","103","Standard query response 0x3feb A safebrowsing.googleapis.com A 216.58.209.74"
"4","0.008280799","80.58.61.250","10.0.2.10","DNS","115","Standard query response 0x59f6 AAAA safebrowsing.googleapis.com AAAA 2a00:1450:4003:801::200a"
"5","0.010474849","10.0.2.10","216.58.209.74","TCP","74","39582  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3336883868 TSecr=0 WS=128"
"6","0.027736552","216.58.209.74","10.0.2.10","TCP","60","443  >  39582 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
"7","0.027807285","10.0.2.10","216.58.209.74","TCP","54","39582  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"8","0.048803691","10.0.2.10","216.58.209.74","TLSv1.3","571","Client Hello"
"9","0.074706161","216.58.209.74","10.0.2.10","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"10","0.074795989","10.0.2.10","216.58.209.74","TCP","54","39582  >  443 [ACK] Seq=518 Ack=1461 Win=62780 Len=0"
"11","0.075111576","216.58.209.74","10.0.2.10","TLSv1.3","1513","Application Data"
"12","0.075129770","10.0.2.10","216.58.209.74","TCP","54","39582  >  443 [ACK] Seq=518 Ack=2920 Win=62780 Len=0"
"13","0.104231207","10.0.2.10","80.58.61.250","DNS","73","Standard query 0x746f A ocsp.pki.goog"
"14","0.104294716","10.0.2.10","80.58.61.250","DNS","73","Standard query 0x5b75 AAAA ocsp.pki.goog"
"15","0.110152273","80.58.61.250","10.0.2.10","DNS","124","Standard query response 0x746f A ocsp.pki.goog CNAME pki-goog.l.google.com A 216.58.209.67"
"16","0.110152464","80.58.61.250","10.0.2.10","DNS","136","Standard query response 0x5b75 AAAA ocsp.pki.goog CNAME pki-goog.l.google.com AAAA 2a00:1450:4003:801::2003"
"17","0.110846213","10.0.2.10","216.58.209.67","TCP","74","53592  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=679957774 TSecr=0 WS=128"
"18","0.117312317","216.58.209.67","10.0.2.10","TCP","60","80  >  53592 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
"19","0.117390884","10.0.2.10","216.58.209.67","TCP","54","53592  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"20","0.117753443","10.0.2.10","216.58.209.67","OCSP","453","Request"
"21","0.227276482","216.58.209.67","10.0.2.10","OCSP","756","Response"
"22","0.227393331","10.0.2.10","216.58.209.67","TCP","54","53592  >  80 [ACK] Seq=400 Ack=703 Win=63882 Len=0"
"23","0.253704200","10.0.2.10","216.58.209.74","TLSv1.3","118","Change Cipher Spec, Application Data"
"24","0.254853939","10.0.2.10","216.58.209.74","TLSv1.3","224","Application Data"
"25","0.254932627","10.0.2.10","216.58.209.74","TLSv1.3","630","Application Data"
"26","0.255236476","216.58.209.74","10.0.2.10","TCP","60","443  >  39582 [ACK] Seq=2920 Ack=752 Win=32017 Len=0"
"27","0.258878208","216.58.209.74","10.0.2.10","TLSv1.3","634","Application Data, Application Data"
"28","0.259014383","10.0.2.10","216.58.209.74","TCP","54","39582  >  443 [ACK] Seq=1328 Ack=3500 Win=62780 Len=0"
"29","0.259877631","10.0.2.10","216.58.209.74","TLSv1.3","85","Application Data"
"30","0.259913929","216.58.209.74","10.0.2.10","TLSv1.3","85","Application Data"
"31","0.260069155","10.0.2.10","216.58.209.74","TCP","54","39582  >  443 [ACK] Seq=1359 Ack=3531 Win=62780 Len=0"
