"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.10","80.58.61.250","DNS","87","Standard query 0x69fd A safebrowsing.googleapis.com"
"2","0.000019085","10.0.2.10","80.58.61.250","DNS","87","Standard query 0xd6ff AAAA safebrowsing.googleapis.com"
"3","0.011899580","80.58.61.250","10.0.2.10","DNS","103","Standard query response 0x69fd A safebrowsing.googleapis.com A 216.58.201.170"
"4","0.011899650","80.58.61.250","10.0.2.10","DNS","115","Standard query response 0xd6ff AAAA safebrowsing.googleapis.com AAAA 2a00:1450:4003:80b::200a"
"5","0.014341385","10.0.2.10","216.58.201.170","TCP","74","59710  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1422043658 TSecr=0 WS=128"
"6","0.025354040","216.58.201.170","10.0.2.10","TCP","60","443  >  59710 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
"7","0.025389163","10.0.2.10","216.58.201.170","TCP","54","59710  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"8","0.026515165","10.0.2.10","216.58.201.170","TLSv1.3","571","Client Hello"
"9","0.056902358","216.58.201.170","10.0.2.10","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"10","0.056940278","10.0.2.10","216.58.201.170","TCP","54","59710  >  443 [ACK] Seq=518 Ack=1461 Win=62780 Len=0"
"11","0.057168550","216.58.201.170","10.0.2.10","TLSv1.3","1513","Application Data"
"12","0.057177351","10.0.2.10","216.58.201.170","TCP","54","59710  >  443 [ACK] Seq=518 Ack=2920 Win=62780 Len=0"
"13","0.124901391","10.0.2.10","80.58.61.250","DNS","73","Standard query 0x1911 A ocsp.pki.goog"
"14","0.124941707","10.0.2.10","80.58.61.250","DNS","73","Standard query 0x3617 AAAA ocsp.pki.goog"
"15","0.141093006","80.58.61.250","10.0.2.10","DNS","124","Standard query response 0x1911 A ocsp.pki.goog CNAME pki-goog.l.google.com A 172.217.168.163"
