,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,10.0.2.8,104.22.27.77,TCP,74,59112  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=278343103 TSecr=0 WS=128
1,2,0.004627483,104.22.27.77,10.0.2.8,TCP,60,"80  >  59112 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
2,3,0.004652467,10.0.2.8,104.22.27.77,TCP,54,59112  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
3,4,0.432691813,10.0.2.8,104.22.27.77,HTTP,429,GET /index.php/Top_10_2010-A1 HTTP/1.1 
4,5,0.4531696,104.22.27.77,10.0.2.8,HTTP,458,HTTP/1.1 301 Moved Permanently 
5,6,0.45319138600000003,10.0.2.8,104.22.27.77,TCP,54,59112  >  80 [ACK] Seq=376 Ack=405 Win=63836 Len=0
6,7,0.462584186,10.0.2.8,80.58.61.250,DNS,73,Standard query 0x6790 A www.owasp.org
7,8,0.462607351,10.0.2.8,80.58.61.250,DNS,73,Standard query 0xa397 AAAA www.owasp.org
8,9,0.463289787,10.0.2.8,80.58.61.250,DNS,73,Standard query 0xb428 A www.owasp.org
9,10,0.47975739100000003,10.0.2.8,104.22.27.77,TCP,74,55694  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=278343582 TSecr=0 WS=128
10,11,0.484384995,104.22.27.77,10.0.2.8,TCP,60,"443  >  55694 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
11,12,0.48440901399999997,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
12,13,0.485498421,10.0.2.8,104.22.27.77,TLSv1.3,571,Client Hello
13,14,0.492956183,104.22.27.77,10.0.2.8,TLSv1.3,1514,"Server Hello, Change Cipher Spec"
14,15,0.49298443399999997,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=518 Ack=1461 Win=62780 Len=0
15,16,0.493290756,104.22.27.77,10.0.2.8,TLSv1.3,1374,Application Data
16,17,0.493297726,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=518 Ack=2781 Win=62780 Len=0
17,18,0.503782764,10.0.2.8,104.22.27.77,TLSv1.3,118,"Change Cipher Spec, Application Data"
18,19,0.504085751,10.0.2.8,104.22.27.77,TLSv1.3,224,Application Data
19,20,0.504347938,10.0.2.8,104.22.27.77,TLSv1.3,323,Application Data
20,21,0.504476935,104.22.27.77,10.0.2.8,TCP,60,443  >  55694 [ACK] Seq=2781 Ack=752 Win=32017 Len=0
21,22,0.5078335589999999,104.22.27.77,10.0.2.8,TLSv1.3,597,"Application Data, Application Data, Application Data"
22,23,0.507857625,10.0.2.8,104.22.27.77,TCP,54,55694  >  443 [ACK] Seq=1021 Ack=3324 Win=62780 Len=0
23,24,0.509302126,10.0.2.8,104.22.27.77,TLSv1.3,85,Application Data
24,25,0.538151896,80.58.61.250,10.0.2.8,DNS,157,Standard query response 0xa397 AAAA www.owasp.org AAAA 2606:4700:10::6816:1a4d AAAA 2606:4700:10::ac43:a27 AAAA 2606:4700:10::6816:1b4d
25,26,0.555572635,104.22.27.77,10.0.2.8,TCP,60,443  >  55694 [ACK] Seq=3324 Ack=1052 Win=31717 Len=0
26,27,0.614360637,80.58.61.250,10.0.2.8,DNS,121,Standard query response 0x6790 A www.owasp.org A 172.67.10.39 A 104.22.26.77 A 104.22.27.77
27,28,0.6146958570000001,10.0.2.8,104.22.27.77,TCP,74,55696  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=278343717 TSecr=0 WS=128
28,29,0.619266784,104.22.27.77,10.0.2.8,TCP,60,"443  >  55696 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
29,30,0.619292995,10.0.2.8,104.22.27.77,TCP,54,55696  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
30,31,0.62060028,10.0.2.8,104.22.27.77,TLSv1.3,571,Client Hello
31,32,0.62773042,104.22.27.77,10.0.2.8,TLSv1.3,1514,"Server Hello, Change Cipher Spec"
32,33,0.627753074,10.0.2.8,104.22.27.77,TCP,54,55696  >  443 [ACK] Seq=518 Ack=1461 Win=62780 Len=0
33,34,0.628666404,104.22.27.77,10.0.2.8,TLSv1.3,1374,Application Data
34,35,0.628675459,10.0.2.8,104.22.27.77,TCP,54,55696  >  443 [ACK] Seq=518 Ack=2781 Win=62780 Len=0
35,36,0.635259941,10.0.2.8,104.22.27.77,TLSv1.3,118,"Change Cipher Spec, Application Data"
36,37,0.636202089,10.0.2.8,104.22.27.77,TLSv1.3,224,Application Data
37,38,0.636245234,10.0.2.8,104.22.27.77,TLSv1.3,248,Application Data
38,39,0.63662367,104.22.27.77,10.0.2.8,TCP,60,443  >  55696 [ACK] Seq=2781 Ack=752 Win=32017 Len=0
39,40,0.639676852,104.22.27.77,10.0.2.8,TLSv1.3,566,"Application Data, Application Data"
40,41,0.639698741,10.0.2.8,104.22.27.77,TCP,54,55696  >  443 [ACK] Seq=946 Ack=3293 Win=62780 Len=0
41,42,0.640020276,10.0.2.8,104.22.27.77,TLSv1.3,85,Application Data
42,43,0.640496772,104.22.27.77,10.0.2.8,TLSv1.3,85,Application Data
43,44,0.640512235,10.0.2.8,104.22.27.77,TCP,54,55696  >  443 [ACK] Seq=977 Ack=3324 Win=62780 Len=0
44,45,0.6479106929999999,104.22.27.77,10.0.2.8,TLSv1.3,529,"Application Data, Application Data"
45,46,0.647922317,10.0.2.8,104.22.27.77,TCP,54,55696  >  443 [ACK] Seq=977 Ack=3799 Win=62780 Len=0
46,47,0.649384283,10.0.2.8,104.22.27.77,TLSv1.3,93,Application Data
47,48,0.649457506,10.0.2.8,104.22.27.77,TLSv1.3,78,Application Data
48,49,0.651143253,104.22.27.77,10.0.2.8,TCP,60,443  >  55696 [ACK] Seq=3799 Ack=1041 Win=31728 Len=0
49,50,0.655502781,104.22.27.77,10.0.2.8,TCP,60,"443  >  55696 [FIN, ACK] Seq=3799 Ack=1041 Win=31728 Len=0"
50,51,0.655535596,10.0.2.8,104.22.27.77,TCP,54,55696  >  443 [ACK] Seq=1041 Ack=3800 Win=62780 Len=0
51,52,0.7024819040000001,80.58.61.250,10.0.2.8,DNS,121,Standard query response 0xb428 A www.owasp.org A 172.67.10.39 A 104.22.26.77 A 104.22.27.77
52,53,0.7029365890000001,10.0.2.8,104.22.27.77,TCP,74,59118  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=278343805 TSecr=0 WS=128
53,54,0.707499345,104.22.27.77,10.0.2.8,TCP,60,"80  >  59118 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
54,55,0.707527738,10.0.2.8,104.22.27.77,TCP,54,59118  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
55,56,0.707747019,10.0.2.8,104.22.27.77,HTTP,345,GET /.well-known/http-opportunistic HTTP/1.1 
56,57,0.732515308,104.22.27.77,10.0.2.8,HTTP,629,HTTP/1.1 200 OK  (application/json)
57,58,0.732515348,104.22.27.77,10.0.2.8,TCP,60,"80  >  59118 [FIN, ACK] Seq=576 Ack=292 Win=32477 Len=0"
58,59,0.732540489,10.0.2.8,104.22.27.77,TCP,54,59118  >  80 [ACK] Seq=292 Ack=576 Win=63825 Len=0
59,60,0.7329596079999999,10.0.2.8,104.22.27.77,TCP,54,"59118  >  80 [FIN, ACK] Seq=292 Ack=577 Win=63825 Len=0"
60,61,0.733331988,104.22.27.77,10.0.2.8,TCP,60,80  >  59118 [ACK] Seq=577 Ack=293 Win=32476 Len=0
61,62,0.752470958,104.22.27.77,10.0.2.8,TLSv1.3,966,"Application Data, Application Data"
